filename,width,height,class,xmin,ymin,xmax,ymax
0062206338_jpg.rf.c296705f67f8ea8ae2f0cf66b7165b21.jpg,640,640,author,55,517,582,547
0062206338_jpg.rf.c296705f67f8ea8ae2f0cf66b7165b21.jpg,640,640,text,65,562,580,577
0060952970_jpg.rf.c259110c272c431db9c22b101776bf8f.jpg,640,640,title,72,40,580,62
0060952970_jpg.rf.c259110c272c431db9c22b101776bf8f.jpg,640,640,title,73,81,579,103
0060952970_jpg.rf.c259110c272c431db9c22b101776bf8f.jpg,640,640,title,73,126,581,148
0060952970_jpg.rf.c259110c272c431db9c22b101776bf8f.jpg,640,640,title,24,172,622,276
0060952970_jpg.rf.c259110c272c431db9c22b101776bf8f.jpg,640,640,title,21,447,626,553
0060952970_jpg.rf.c259110c272c431db9c22b101776bf8f.jpg,640,640,author,114,585,530,612
031604394X_jpg.rf.bfd3e509558a90dfb6b55f03d7a0fb12.jpg,640,640,title,51,378,581,568
031604394X_jpg.rf.bfd3e509558a90dfb6b55f03d7a0fb12.jpg,640,640,author,133,576,515,618
031604394X_jpg.rf.bfd3e509558a90dfb6b55f03d7a0fb12.jpg,640,640,text,40,18,607,64
019023427X_jpg.rf.c5017a4e5d0dd09565e78d23c19cff40.jpg,640,640,title,241,31,404,93
019023427X_jpg.rf.c5017a4e5d0dd09565e78d23c19cff40.jpg,640,640,title,119,120,529,182
019023427X_jpg.rf.c5017a4e5d0dd09565e78d23c19cff40.jpg,640,640,title,150,208,498,269
019023427X_jpg.rf.c5017a4e5d0dd09565e78d23c19cff40.jpg,640,640,title,238,293,403,354
019023427X_jpg.rf.c5017a4e5d0dd09565e78d23c19cff40.jpg,640,640,title,54,379,593,443
019023427X_jpg.rf.c5017a4e5d0dd09565e78d23c19cff40.jpg,640,640,title,103,467,572,530
019023427X_jpg.rf.c5017a4e5d0dd09565e78d23c19cff40.jpg,640,640,author,175,572,469,596
037570406X_jpg.rf.c44910588382dd4aed88e6456248c607.jpg,640,640,title,22,16,618,92
037570406X_jpg.rf.c44910588382dd4aed88e6456248c607.jpg,640,640,author,234,140,408,177
20240124_110130_jpg.rf.c0eda691773443e45c9075b33bf14c80.jpg,640,640,author,213,40,359,61
20240124_110130_jpg.rf.c0eda691773443e45c9075b33bf14c80.jpg,640,640,title,105,245,321,280
20240124_110130_jpg.rf.c0eda691773443e45c9075b33bf14c80.jpg,640,640,title,108,288,572,330
20240124_110130_jpg.rf.c0eda691773443e45c9075b33bf14c80.jpg,640,640,title,108,360,321,382
20240124_110130_jpg.rf.c0eda691773443e45c9075b33bf14c80.jpg,640,640,title,111,380,442,402
20240124_110130_jpg.rf.c0eda691773443e45c9075b33bf14c80.jpg,640,640,publisher,265,564,371,590
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,title,283,103,363,136
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,title,71,160,572,196
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,title,57,215,584,262
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,title,299,273,357,301
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,title,221,310,424,342
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,title,277,345,381,370
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,text,138,517,500,530
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,text,80,532,562,546
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,author,83,551,553,581
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,text,129,587,516,605
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,text,161,606,481,626
0062358243_jpg.rf.c233a4e71ff4d5cf5e260f42a6da6ac7.jpg,640,640,publisher,570,577,619,595
006202762X_jpg.rf.c17492a16025b6e5ee22634361625993.jpg,640,640,title,39,16,612,134
006202762X_jpg.rf.c17492a16025b6e5ee22634361625993.jpg,640,640,title,139,135,498,159
006202762X_jpg.rf.c17492a16025b6e5ee22634361625993.jpg,640,640,text,76,443,237,554
006202762X_jpg.rf.c17492a16025b6e5ee22634361625993.jpg,640,640,author,65,578,559,628
0062207822_jpg.rf.c28005a26f5b1bde7736ad410e8f3840.jpg,640,640,text,30,19,607,39
0062207822_jpg.rf.c28005a26f5b1bde7736ad410e8f3840.jpg,640,640,title,23,47,620,130
0062207822_jpg.rf.c28005a26f5b1bde7736ad410e8f3840.jpg,640,640,title,87,143,553,165
0062207822_jpg.rf.c28005a26f5b1bde7736ad410e8f3840.jpg,640,640,author,21,546,387,624
047173828X_jpg.rf.c1b6a03f4e3d88488d408ded88cc23a9.jpg,640,640,title,40,202,421,235
047173828X_jpg.rf.c1b6a03f4e3d88488d408ded88cc23a9.jpg,640,640,title,40,226,594,330
047173828X_jpg.rf.c1b6a03f4e3d88488d408ded88cc23a9.jpg,640,640,title,252,313,602,356
047173828X_jpg.rf.c1b6a03f4e3d88488d408ded88cc23a9.jpg,640,640,title,446,379,603,399
047173828X_jpg.rf.c1b6a03f4e3d88488d408ded88cc23a9.jpg,640,640,author,64,609,572,630
031225430X_jpg.rf.c55d7f8b2c94dcbbb827f5e303f71ae3.jpg,640,640,title,84,24,561,56
031225430X_jpg.rf.c55d7f8b2c94dcbbb827f5e303f71ae3.jpg,640,640,text,391,379,618,551
031225430X_jpg.rf.c55d7f8b2c94dcbbb827f5e303f71ae3.jpg,640,640,author,108,595,542,619
034553199X_jpg.rf.c340b37f590c71b5d976c7fc8463313a.jpg,640,640,title,27,550,610,620
034553199X_jpg.rf.c340b37f590c71b5d976c7fc8463313a.jpg,640,640,text,26,527,185,542
034553199X_jpg.rf.c340b37f590c71b5d976c7fc8463313a.jpg,640,640,author,26,42,617,293
034553199X_jpg.rf.c340b37f590c71b5d976c7fc8463313a.jpg,640,640,text,30,308,451,364
034553199X_jpg.rf.c340b37f590c71b5d976c7fc8463313a.jpg,640,640,text,27,15,620,43
006122815X_jpg.rf.c16d900dc7fdcda5738b6240a346c5fb.jpg,640,640,title,83,421,572,471
006122815X_jpg.rf.c16d900dc7fdcda5738b6240a346c5fb.jpg,640,640,title,35,487,621,505
006122815X_jpg.rf.c16d900dc7fdcda5738b6240a346c5fb.jpg,640,640,title,40,516,619,571
006122815X_jpg.rf.c16d900dc7fdcda5738b6240a346c5fb.jpg,640,640,author,40,594,617,621
006122815X_jpg.rf.c16d900dc7fdcda5738b6240a346c5fb.jpg,640,640,text,28,9,253,26
006122815X_jpg.rf.c16d900dc7fdcda5738b6240a346c5fb.jpg,640,640,text,20,30,259,46
006122815X_jpg.rf.c16d900dc7fdcda5738b6240a346c5fb.jpg,640,640,text,18,52,266,65
006122815X_jpg.rf.c16d900dc7fdcda5738b6240a346c5fb.jpg,640,640,text,46,70,238,82
20240122_224518_jpg.rf.c062f6617ebfc631dab851355c3d8226.jpg,640,640,title,87,178,521,230
20240122_224518_jpg.rf.c062f6617ebfc631dab851355c3d8226.jpg,640,640,title,90,243,430,294
20240122_224518_jpg.rf.c062f6617ebfc631dab851355c3d8226.jpg,640,640,text,87,309,485,337
20240122_224518_jpg.rf.c062f6617ebfc631dab851355c3d8226.jpg,640,640,text,88,341,284,368
20240122_224518_jpg.rf.c062f6617ebfc631dab851355c3d8226.jpg,640,640,author,84,561,363,592
20240122_224518_jpg.rf.c062f6617ebfc631dab851355c3d8226.jpg,640,640,text,68,30,89,136
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,title,266,44,411,91
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,title,196,94,475,140
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,title,176,135,491,185
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,title,210,185,463,226
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,title,203,232,465,274
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,title,169,283,495,317
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,title,200,316,465,351
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,title,264,347,395,382
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,author,223,441,437,481
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,publisher,304,529,385,545
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,text,227,578,420,593
20240124_103313_jpg.rf.c1a709d783802b9f9be3d301a99501ff.jpg,640,640,text,238,591,409,605
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,title,254,17,372,61
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,title,71,63,563,111
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,title,70,116,557,192
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,title,282,186,350,227
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,title,70,220,556,332
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,title,69,335,556,408
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,title,242,407,372,446
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,title,70,446,558,483
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,author,77,496,553,552
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,text,182,559,444,573
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,text,137,576,489,590
0060186364_jpg.rf.c11682e571b84c59cca1237629ba3e52.jpg,640,640,text,178,594,448,606
007177078X_jpg.rf.c4c3a73f127c7254af6f9089e13eeda8.jpg,640,640,title,49,174,581,318
007177078X_jpg.rf.c4c3a73f127c7254af6f9089e13eeda8.jpg,640,640,text,76,336,520,451
007177078X_jpg.rf.c4c3a73f127c7254af6f9089e13eeda8.jpg,640,640,author,39,498,583,541
007177078X_jpg.rf.c4c3a73f127c7254af6f9089e13eeda8.jpg,640,640,publisher,28,541,322,600
007177078X_jpg.rf.c4c3a73f127c7254af6f9089e13eeda8.jpg,640,640,text,243,611,402,633
0062313177_jpg.rf.c1adfa05e8ebb357d5f7489089597a5d.jpg,640,640,text,24,26,611,42
0062313177_jpg.rf.c1adfa05e8ebb357d5f7489089597a5d.jpg,640,640,title,78,116,559,156
0062313177_jpg.rf.c1adfa05e8ebb357d5f7489089597a5d.jpg,640,640,title,27,181,618,222
0062313177_jpg.rf.c1adfa05e8ebb357d5f7489089597a5d.jpg,640,640,title,138,248,505,288
0062313177_jpg.rf.c1adfa05e8ebb357d5f7489089597a5d.jpg,640,640,title,164,314,483,354
0062313177_jpg.rf.c1adfa05e8ebb357d5f7489089597a5d.jpg,640,640,title,44,413,592,428
0062313177_jpg.rf.c1adfa05e8ebb357d5f7489089597a5d.jpg,640,640,title,202,440,438,456
0062313177_jpg.rf.c1adfa05e8ebb357d5f7489089597a5d.jpg,640,640,title,72,469,564,489
0062313177_jpg.rf.c1adfa05e8ebb357d5f7489089597a5d.jpg,640,640,author,114,560,526,582
0062313177_jpg.rf.c1adfa05e8ebb357d5f7489089597a5d.jpg,640,640,author,78,597,561,617
20240124_093915_jpg.rf.c19832fce984962370bcdfac71a56098.jpg,640,640,title,63,51,215,86
20240124_093915_jpg.rf.c19832fce984962370bcdfac71a56098.jpg,640,640,title,65,94,213,113
20240124_093915_jpg.rf.c19832fce984962370bcdfac71a56098.jpg,640,640,title,60,193,418,264
20240124_093915_jpg.rf.c19832fce984962370bcdfac71a56098.jpg,640,640,title,435,151,599,169
20240124_093915_jpg.rf.c19832fce984962370bcdfac71a56098.jpg,640,640,author,60,277,307,309
20240124_093915_jpg.rf.c19832fce984962370bcdfac71a56098.jpg,640,640,publisher,112,549,327,578
037389290X_jpg.rf.c723388554b4229c8b34255433967bfc.jpg,640,640,title,86,42,547,81
037389290X_jpg.rf.c723388554b4229c8b34255433967bfc.jpg,640,640,title,87,87,556,157
037389290X_jpg.rf.c723388554b4229c8b34255433967bfc.jpg,640,640,title,89,168,553,218
037389290X_jpg.rf.c723388554b4229c8b34255433967bfc.jpg,640,640,title,139,256,495,279
037389290X_jpg.rf.c723388554b4229c8b34255433967bfc.jpg,640,640,title,102,280,531,303
037389290X_jpg.rf.c723388554b4229c8b34255433967bfc.jpg,640,640,author,130,573,508,599
014312045X_jpg.rf.c5fbd55dc04c598cc3f9f7b031606708.jpg,640,640,title,31,134,608,498
014312045X_jpg.rf.c5fbd55dc04c598cc3f9f7b031606708.jpg,640,640,text,108,527,525,565
014312045X_jpg.rf.c5fbd55dc04c598cc3f9f7b031606708.jpg,640,640,author,27,581,620,630
0062385852_jpg.rf.c60bf73a5ca330b9e1ff9a5b8181d6a2.jpg,640,640,title,226,66,412,100
0062385852_jpg.rf.c60bf73a5ca330b9e1ff9a5b8181d6a2.jpg,640,640,title,93,118,550,163
0062385852_jpg.rf.c60bf73a5ca330b9e1ff9a5b8181d6a2.jpg,640,640,title,259,360,375,425
0062385852_jpg.rf.c60bf73a5ca330b9e1ff9a5b8181d6a2.jpg,640,640,title,136,427,503,453
0062385852_jpg.rf.c60bf73a5ca330b9e1ff9a5b8181d6a2.jpg,640,640,title,102,473,540,498
0062385852_jpg.rf.c60bf73a5ca330b9e1ff9a5b8181d6a2.jpg,640,640,author,126,567,515,589
0062385852_jpg.rf.c60bf73a5ca330b9e1ff9a5b8181d6a2.jpg,640,640,text,177,596,461,605
0060780940_jpg.rf.c58fbcba5c097f732b2d5d935b1bb50d.jpg,640,640,title,110,11,535,69
0060780940_jpg.rf.c58fbcba5c097f732b2d5d935b1bb50d.jpg,640,640,title,19,73,629,185
0060780940_jpg.rf.c58fbcba5c097f732b2d5d935b1bb50d.jpg,640,640,title,75,193,563,205
0060780940_jpg.rf.c58fbcba5c097f732b2d5d935b1bb50d.jpg,640,640,text,161,585,486,597
0060780940_jpg.rf.c58fbcba5c097f732b2d5d935b1bb50d.jpg,640,640,author,65,599,580,631
0006480373_jpg.rf.c638fedcac95eaa4a629deb7e6228a00.jpg,640,640,author,28,18,609,77
0006480373_jpg.rf.c638fedcac95eaa4a629deb7e6228a00.jpg,640,640,text,28,608,609,629
0006480373_jpg.rf.c638fedcac95eaa4a629deb7e6228a00.jpg,640,640,title,62,298,565,538
0061458473_jpg.rf.c7bfc81d6e6fbde2ce8e1a04e1f797ac.jpg,640,640,title,20,29,267,62
0061458473_jpg.rf.c7bfc81d6e6fbde2ce8e1a04e1f797ac.jpg,640,640,title,19,69,221,83
0061458473_jpg.rf.c7bfc81d6e6fbde2ce8e1a04e1f797ac.jpg,640,640,title,22,93,241,114
0061458473_jpg.rf.c7bfc81d6e6fbde2ce8e1a04e1f797ac.jpg,640,640,title,35,411,456,486
0061458473_jpg.rf.c7bfc81d6e6fbde2ce8e1a04e1f797ac.jpg,640,640,title,1,491,640,563
0061458473_jpg.rf.c7bfc81d6e6fbde2ce8e1a04e1f797ac.jpg,640,640,author,22,579,328,608
0061458473_jpg.rf.c7bfc81d6e6fbde2ce8e1a04e1f797ac.jpg,640,640,text,25,612,318,624
0025668609_jpg.rf.c3e6de057c4d0c9754c3962924bf52ed.jpg,640,640,title,53,37,575,137
0025668609_jpg.rf.c3e6de057c4d0c9754c3962924bf52ed.jpg,640,640,author,193,134,437,186
0025668609_jpg.rf.c3e6de057c4d0c9754c3962924bf52ed.jpg,640,640,text,415,500,577,542
0025668609_jpg.rf.c3e6de057c4d0c9754c3962924bf52ed.jpg,640,640,text,92,538,549,600
006059585X_jpg.rf.c7fc313cb5e336e66e612214280e438f.jpg,640,640,text,22,224,624,258
006059585X_jpg.rf.c7fc313cb5e336e66e612214280e438f.jpg,640,640,title,27,260,613,430
006059585X_jpg.rf.c7fc313cb5e336e66e612214280e438f.jpg,640,640,text,67,443,570,518
006059585X_jpg.rf.c7fc313cb5e336e66e612214280e438f.jpg,640,640,author,27,538,626,584
006059585X_jpg.rf.c7fc313cb5e336e66e612214280e438f.jpg,640,640,text,32,583,626,633
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,66,8,587,25
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,92,31,558,48
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,title,25,60,115,87
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,title,20,95,407,157
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,title,26,157,483,205
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,title,29,221,622,276
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,300,287,532,319
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,308,328,428,352
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,305,366,376,391
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,308,403,491,428
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,303,442,477,466
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,305,481,533,510
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,112,307,220,324
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,63,325,273,345
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,127,348,204,369
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,63,376,273,397
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,90,399,244,427
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,81,426,254,453
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,author,69,552,585,596
0060798653_jpg.rf.c81b503d1d84370f800152a0e0e50768.jpg,640,640,text,62,595,585,612
006091646X_jpg.rf.c8a8e26ea60cad1df7a05bcf13b6e4f7.jpg,640,640,publisher,42,9,596,30
006091646X_jpg.rf.c8a8e26ea60cad1df7a05bcf13b6e4f7.jpg,640,640,title,41,33,594,114
006091646X_jpg.rf.c8a8e26ea60cad1df7a05bcf13b6e4f7.jpg,640,640,title,43,114,595,213
006091646X_jpg.rf.c8a8e26ea60cad1df7a05bcf13b6e4f7.jpg,640,640,title,128,222,510,243
006091646X_jpg.rf.c8a8e26ea60cad1df7a05bcf13b6e4f7.jpg,640,640,title,50,247,591,274
006091646X_jpg.rf.c8a8e26ea60cad1df7a05bcf13b6e4f7.jpg,640,640,title,124,279,516,301
006091646X_jpg.rf.c8a8e26ea60cad1df7a05bcf13b6e4f7.jpg,640,640,author,47,553,589,603
006091646X_jpg.rf.c8a8e26ea60cad1df7a05bcf13b6e4f7.jpg,640,640,text,97,601,541,628
20240122_150131_jpg.rf.c9dd40c42c2652529834c1358ab55996.jpg,640,640,text,206,52,431,77
20240122_150131_jpg.rf.c9dd40c42c2652529834c1358ab55996.jpg,640,640,title,65,148,578,247
20240122_150131_jpg.rf.c9dd40c42c2652529834c1358ab55996.jpg,640,640,title,368,249,596,309
20240122_150131_jpg.rf.c9dd40c42c2652529834c1358ab55996.jpg,640,640,text,365,345,516,383
20240122_150131_jpg.rf.c9dd40c42c2652529834c1358ab55996.jpg,640,640,text,340,384,544,425
20240122_150131_jpg.rf.c9dd40c42c2652529834c1358ab55996.jpg,640,640,text,351,427,528,465
20240122_150131_jpg.rf.c9dd40c42c2652529834c1358ab55996.jpg,640,640,author,363,543,578,594
20240122_150131_jpg.rf.c9dd40c42c2652529834c1358ab55996.jpg,640,640,text,473,106,598,127
007136417X_jpg.rf.c9e6972ec5cee8a5330de9850816e432.jpg,640,640,title,127,66,199,82
007136417X_jpg.rf.c9e6972ec5cee8a5330de9850816e432.jpg,640,640,title,208,48,454,115
007136417X_jpg.rf.c9e6972ec5cee8a5330de9850816e432.jpg,640,640,title,84,110,478,152
007136417X_jpg.rf.c9e6972ec5cee8a5330de9850816e432.jpg,640,640,title,119,162,447,184
007136417X_jpg.rf.c9e6972ec5cee8a5330de9850816e432.jpg,640,640,text,103,202,473,218
007136417X_jpg.rf.c9e6972ec5cee8a5330de9850816e432.jpg,640,640,text,149,221,426,237
007136417X_jpg.rf.c9e6972ec5cee8a5330de9850816e432.jpg,640,640,author,200,264,580,276
007136417X_jpg.rf.c9e6972ec5cee8a5330de9850816e432.jpg,640,640,text,47,601,309,616
007136417X_jpg.rf.c9e6972ec5cee8a5330de9850816e432.jpg,640,640,publisher,61,623,302,637
007892782X_jpg.rf.cb52e6ab5433619a76b6d7d4d976d08e.jpg,640,640,title,302,19,621,99
007892782X_jpg.rf.cb52e6ab5433619a76b6d7d4d976d08e.jpg,640,640,author,31,18,109,49
007892782X_jpg.rf.cb52e6ab5433619a76b6d7d4d976d08e.jpg,640,640,text,456,581,626,619
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,text,62,29,577,47
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,title,167,75,478,136
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,title,110,156,527,217
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,title,89,288,553,317
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,title,45,322,594,350
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,author,100,419,303,456
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,author,68,468,338,508
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,text,79,524,317,542
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,text,122,541,278,556
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,text,89,556,326,572
0061930067_jpg.rf.ca3792134ce994d7d502511753a2234d.jpg,640,640,text,78,573,325,589
0060877197_jpg.rf.caa38d99718c7d1a5d51c4beecb7c44d.jpg,640,640,author,20,24,284,66
0060877197_jpg.rf.caa38d99718c7d1a5d51c4beecb7c44d.jpg,640,640,title,72,506,580,597
0060877197_jpg.rf.caa38d99718c7d1a5d51c4beecb7c44d.jpg,640,640,title,180,603,462,626
068482471X_jpg.rf.ca75519eea2480256d2df6ee9ec8de45.jpg,640,640,title,265,58,620,112
068482471X_jpg.rf.ca75519eea2480256d2df6ee9ec8de45.jpg,640,640,title,17,133,612,185
068482471X_jpg.rf.ca75519eea2480256d2df6ee9ec8de45.jpg,640,640,title,8,236,619,260
068482471X_jpg.rf.ca75519eea2480256d2df6ee9ec8de45.jpg,640,640,author,12,549,625,596
068482471X_jpg.rf.ca75519eea2480256d2df6ee9ec8de45.jpg,640,640,text,95,606,532,621
068482471X_jpg.rf.ca75519eea2480256d2df6ee9ec8de45.jpg,640,640,text,350,308,574,321
068482471X_jpg.rf.ca75519eea2480256d2df6ee9ec8de45.jpg,640,640,text,369,324,553,335
068482471X_jpg.rf.ca75519eea2480256d2df6ee9ec8de45.jpg,640,640,text,344,339,580,352
068482471X_jpg.rf.ca75519eea2480256d2df6ee9ec8de45.jpg,640,640,text,345,355,578,367
068482471X_jpg.rf.ca75519eea2480256d2df6ee9ec8de45.jpg,640,640,text,369,372,560,382
